actual_jitter,tabtransformer_pca,tabnet_pca,XGB_stacked_pca,XGB_stacked
79.37270059423682,53.906403,73.690735,73.18962,65.77227
82.25357153204958,40.063988,68.914566,71.757034,71.06316
74.48996970905702,38.411686,66.23261,69.824356,56.183178
67.16329242098519,45.501343,62.84422,63.425472,62.175323
51.610093202212184,44.40566,55.862846,52.64167,54.705494
64.94997260168101,42.33547,63.528023,62.99221,64.31333
64.460418060841,43.82478,61.541485,60.819138,65.14088
68.50088072887468,49.171368,60.48346,58.318935,62.412937
27.175575058716046,37.63968,32.406403,32.858635,35.094566
54.370362888980225,44.894905,53.62628,52.920372,67.70282
37.60292247147901,44.253426,41.955738,40.99077,43.294262
29.019549260809974,43.41197,60.20922,57.78883,56.183178
54.992213204002105,45.866405,47.281136,50.585968,55.847042
71.89169555339137,44.8125,53.179195,52.77898,51.29117
18.409124836035502,42.69115,44.947742,36.796387,44.52331
78.41702254926717,45.242672,71.67907,74.14469,77.27167
79.02121121479769,47.556133,72.48904,72.17843,74.053375
40.12378215816119,53.68363,66.97709,65.86995,61.76252
39.65972509321058,38.485443,42.558796,39.522648,40.084198
52.28614570099021,31.199772,35.493385,37.010036,28.528492
47.2292644736119,42.258923,53.717472,52.48711,55.03319
64.86746930326021,43.811085,60.688812,59.43521,65.492355
45.63072324267609,40.352905,49.956017,49.806225,45.322334
46.00180921646846,39.66438,37.095875,37.150555,33.826332
53.11034992108518,48.041344,74.147575,77.344154,65.275856
48.09587980696507,50.13917,76.52669,77.6811,71.510506
85.1683689107918,47.77248,75.000175,77.344154,80.0962
20.071172192068058,39.018684,39.819805,37.572163,35.094566
53.79207284431021,44.81679,59.775654,59.895382,48.99538
77.73225206359999,47.187206,71.08707,72.17843,68.87039
60.53772425950719,41.707233,50.76204,49.806225,61.424736
31.682620618436456,44.47762,56.29303,57.878403,63.562313
51.1552579649264,49.687305,54.817673,51.41494,55.317665
42.24442768626667,37.8231,37.57058,41.01692,33.199783
62.32816016537279,45.100048,45.38758,43.111084,41.59392
61.5419867405823,53.09399,66.365265,66.478165,66.05034
79.02306884586686,41.15894,61.53314,60.964912,64.767746
31.318360570031917,37.97009,35.30154,33.70779,32.096203
47.59116513256079,42.24695,68.81224,70.67254,69.67683
-0.29923753130199326,34.76698,45.04909,29.884487,33.95019
18.110191174223893,38.42923,44.700275,38.725456,53.828266
33.30588455055635,37.470272,37.234943,35.48155,33.591053
37.67194260557609,42.58297,41.50409,39.475418,40.868736
68.71660201039391,47.10628,57.112213,56.434288,61.424736
98.79389990800009,51.24487,76.765945,77.6811,93.92509
20.81261142176991,47.806583,46.703594,41.88981,44.52331
39.05855538044705,37.11163,40.627728,37.461227,40.847176
6.770340105889054,42.656437,28.873394,23.97873,25.084167
80.2335513967164,49.2114,71.91993,72.17843,78.58353
51.754272277627635,43.646328,59.82245,59.875317,55.847042
62.34792313882279,36.761112,53.985584,51.453743,54.504498
68.04566411680557,48.380245,82.966934,82.40855,78.2483
62.197494707820944,34.24056,28.47249,21.614613,30.205183
61.97413675213824,52.141617,59.381138,58.57472,55.763363
7.1594998940554255,41.124256,47.08239,47.296238,37.652016
48.779371175115585,35.198093,54.439724,51.650993,45.838127
37.942462510259595,42.002777,57.407417,57.048615,50.190598
51.80991431209573,44.45508,46.87028,43.01973,50.190598
77.7261364445527,36.6631,30.995956,32.858635,33.667145
39.126651653816324,42.86996,59.212875,60.35596,55.03319
52.77338644844741,42.435207,50.840855,49.806225,51.989555
65.52674515886949,47.538097,57.826633,55.43756,62.175323
54.973687545759645,44.614933,38.16099,40.16656,33.78037
92.61376663346795,49.32047,77.89329,79.951355,77.64775
92.2346725484369,53.08223,83.86861,84.98798,85.4186
40.213480415791246,44.72208,64.330605,64.626816,64.87945
71.53462112487381,44.86085,56.222683,57.71634,51.29117
28.180984903770202,37.3802,42.87607,38.87493,45.121914
71.20275321839885,45.237186,83.578415,85.218796,65.275856
42.434434683002586,37.80853,43.075394,39.067436,39.124092
34.69122384648328,46.342785,55.519817,52.2208,61.424736
38.49357840767086,42.698933,44.575443,38.678226,44.52331
4.197610585618012,41.203327,18.511127,14.276365,15.009263
68.24730714227417,42.49936,54.88304,52.48711,55.37488
54.36428671923808,41.54742,58.660774,56.523216,51.933567
34.47503584020494,45.833206,39.036392,40.004498,43.849472
