actual_jitter,baseline,tabtransformer,tabnet,LGBM_stacked,XGB_stacked
79.37270059423682,67.07811,74.203476,67.07811,65.0668612485302,65.77227
82.25357153204958,72.56494,60.470028,72.56494,76.46336290636081,71.06316
74.48996970905702,56.04081,50.060368,56.04081,60.19137903391317,56.183178
67.16329242098519,59.277752,53.30132,59.277752,63.51476640044742,62.175323
51.610093202212184,53.44415,44.924088,53.44415,52.4766689308773,54.705494
64.94997260168101,63.68908,59.529823,63.68908,63.89361276617315,64.31333
64.460418060841,63.517582,54.2238,63.517582,61.6801261656176,65.14088
68.50088072887468,63.921154,69.262566,63.921154,62.789639029041815,62.412937
27.175575058716046,36.31683,47.33893,36.31683,33.868317964840784,35.094566
54.370362888980225,69.6638,52.882572,69.6638,67.88484667018808,67.70282
37.60292247147901,43.484653,60.72946,43.484653,39.8312781813901,43.294262
29.019549260809974,55.638077,53.345856,55.638077,53.21901505921826,56.183178
54.992213204002105,53.90017,45.674206,53.90017,57.20019485570087,55.847042
71.89169555339137,52.208977,46.346718,52.208977,49.71287284618122,51.29117
18.409124836035502,45.021965,46.32667,45.021965,42.557316321248514,44.52331
78.41702254926717,74.679535,77.77039,74.679535,75.49787930082509,77.27167
79.02121121479769,77.37114,65.523224,77.37114,75.20520345607704,74.053375
40.12378215816119,62.416115,65.71411,62.416115,61.027277557808695,61.76252
39.65972509321058,42.453575,37.30919,42.453575,37.35573823543248,40.084198
52.28614570099021,27.130724,32.882954,27.130724,33.38334813917412,28.528492
47.2292644736119,54.63077,61.38387,54.63077,52.62660279063158,55.03319
64.86746930326021,61.89639,48.964977,61.89639,67.27405751704157,65.492355
45.63072324267609,46.61633,53.259827,46.61633,43.44317035903924,45.322334
46.00180921646846,35.726974,40.964333,35.726974,34.17156713510891,33.826332
53.11034992108518,68.89524,58.935974,68.89524,68.34250129216674,65.275856
48.09587980696507,73.09377,68.02424,73.09377,65.16519822024264,71.510506
85.1683689107918,78.80372,71.363045,78.80372,83.50002650383767,80.0962
20.071172192068058,37.25123,47.603043,37.25123,34.45929733043457,35.094566
53.79207284431021,48.438087,46.6766,48.438087,52.66039799338339,48.99538
77.73225206359999,69.56908,72.44694,69.56908,64.36452985465759,68.87039
60.53772425950719,59.334038,55.366364,59.334038,58.67377186014512,61.424736
31.682620618436456,60.342514,54.9713,60.342514,57.82117644742826,63.562313
51.1552579649264,57.28191,70.272606,57.28191,54.90164387169382,55.317665
42.24442768626667,29.625904,36.427376,29.625904,33.28304187747961,33.199783
62.32816016537279,44.881218,54.070965,44.881218,46.925998007089106,41.59392
61.5419867405823,69.59496,78.00681,69.59496,68.15475172208384,66.05034
79.02306884586686,66.000694,61.648354,66.000694,67.82328146366415,64.767746
31.318360570031917,31.743765,31.864635,31.743765,33.082831674604755,32.096203
47.59116513256079,72.03277,56.75245,72.03277,66.09474691517738,69.67683
-0.29923753130199326,31.67186,32.150303,31.67186,31.743334443979197,33.95019
18.110191174223893,54.935165,42.761837,54.935165,47.10084269358945,53.828266
33.30588455055635,31.191113,32.55697,31.191113,34.072991940415164,33.591053
37.67194260557609,40.605915,37.483425,40.605915,42.733628529829204,40.868736
68.71660201039391,60.15155,57.509216,60.15155,62.02250061958466,61.424736
98.79389990800009,86.936554,71.52345,86.936554,93.41639431000742,93.92509
20.81261142176991,46.21535,47.80843,46.21535,40.871550321006694,44.52331
39.05855538044705,39.903328,37.902527,39.903328,46.92488269249096,40.847176
6.770340105889054,22.618677,36.034874,22.618677,21.08717573077303,25.084167
80.2335513967164,81.232124,60.74433,81.232124,73.5992658184467,78.58353
51.754272277627635,54.262737,45.858734,54.262737,54.41534736784242,55.847042
62.34792313882279,54.039745,38.23825,54.039745,55.906436206047786,54.504498
68.04566411680557,78.90352,69.944374,78.90352,76.52096947158638,78.2483
62.197494707820944,23.63125,31.3971,23.63125,35.15867428551516,30.205183
61.97413675213824,55.608704,56.360863,55.608704,56.070453404150356,55.763363
7.1594998940554255,44.175797,37.1059,44.175797,27.50967625040412,37.652016
48.779371175115585,46.69328,40.50978,46.69328,45.78327983384243,45.838127
37.942462510259595,50.155926,46.36886,50.155926,50.7514244809014,50.190598
51.80991431209573,49.856773,49.50206,49.856773,47.44372950772589,50.190598
77.7261364445527,25.376453,30.489544,25.376453,31.929652171670174,33.667145
39.126651653816324,55.27638,61.925854,55.27638,54.282656468596215,55.03319
52.77338644844741,51.019295,46.462936,51.019295,53.81829558929861,51.989555
65.52674515886949,59.15287,53.428043,59.15287,63.616774035052785,62.175323
54.973687545759645,35.305244,46.834347,35.305244,33.11448679929012,33.78037
92.61376663346795,73.871956,73.378845,73.871956,76.80127099825907,77.64775
92.2346725484369,81.48784,71.16017,81.48784,85.56275808240905,85.4186
40.213480415791246,63.90848,55.170074,63.90848,60.748417603586006,64.87945
71.53462112487381,51.263855,45.212486,51.263855,55.24228405452122,51.29117
28.180984903770202,40.736816,39.059975,40.736816,50.13366255348723,45.121914
71.20275321839885,67.88365,58.225967,67.88365,65.91195739628311,65.275856
42.434434683002586,43.635906,37.761078,43.635906,44.60396102813748,39.124092
34.69122384648328,60.04425,58.109695,60.04425,60.43367374786857,61.424736
38.49357840767086,45.45703,44.6307,45.45703,47.56272337216169,44.52331
4.197610585618012,15.348647,36.26988,15.348647,10.608677582416407,15.009263
68.24730714227417,53.233543,48.425903,53.233543,58.6393231288741,55.37488
54.36428671923808,52.510773,46.777912,52.510773,48.30571894675584,51.933567
34.47503584020494,39.97095,65.66655,39.97095,41.07887942259555,43.849472
8.026351733429728,15.106898,37.67611,15.106898,18.13469909403268,17.337984
84.54022325867045,70.45104,54.05292,70.45104,70.9576039190077,69.79561
39.292328642721365,47.086998,37.010063,47.086998,39.066199357877075,41.978947
51.40934529762565,55.620537,44.57034,55.620537,49.87337970448594,55.177654
35.145517129377964,46.233456,46.353104,46.233456,43.45277707550728,44.52331
40.61649063413779,34.068485,36.71631,34.068485,42.60573839558538,34.097584
59.15449012426325,61.624565,54.98873,61.624565,66.20180565648587,64.741776
44.48779175143012,65.32629,68.206985,65.32629,63.72022624467782,63.083546
92.3849116085783,70.96599,68.66235,70.96599,63.93054953274805,67.25892
92.45591661013373,70.731636,58.516537,70.731636,73.43486895676742,69.18862
61.14803089169032,58.75494,49.08184,58.75494,68.02037532505629,61.79883
54.01778735677606,53.316803,47.322968,53.316803,54.75949876883292,55.37488
55.26606371288163,34.79589,37.568256,34.79589,32.4349194825551,33.999115
59.86107462580975,55.921326,56.071594,55.921326,51.908268321245586,55.763363
91.42797122969151,84.1018,79.570595,84.1018,85.78550640579901,85.4679
27.736223936114975,44.27909,53.958084,44.27909,41.679942291938325,41.59392
47.97392524308449,49.7477,38.1347,49.7477,53.44801132563571,50.032356
80.30638598784748,61.61942,72.81296,61.61942,66.38514734125901,66.30704
48.02483589977281,72.7443,62.171158,72.7443,75.05068509184589,71.06316
53.29897798182195,49.477524,46.33236,49.477524,48.23696078947573,49.51227
80.11366414690997,73.738495,43.631058,73.738495,81.76576383102878,77.628136
59.637705091792746,29.556503,32.612534,29.556503,44.14306798627796,35.90056
44.297095633720474,45.31829,56.521187,45.31829,49.640310391026226,46.160717
44.70945713496653,46.70958,38.67644,46.70958,45.380111298886334,47.431763
44.32714592843367,50.002964,77.25852,50.002964,55.31028527901094,52.728546
27.352052056318904,17.76595,37.248825,17.76595,22.260002227031695,20.343277
52.40177990538163,51.46172,50.970787,51.46172,48.98725530849081,51.29117
60.04285345582351,37.726196,57.62799,37.726196,46.668664776928416,38.419582
75.36783236963046,61.445282,68.14407,61.445282,70.41727166648013,63.750664
38.74646114574438,26.256365,40.649788,26.256365,32.57214248898551,28.707462
39.55191461517815,56.652264,45.8928,56.652264,59.34756720991161,56.35999
67.94775569271525,86.71304,79.95089,86.71304,88.22148069736855,91.09705
18.64399082745811,45.506596,47.706062,45.506596,40.44653183941703,44.52331
4.554899549143965,15.106898,39.64083,15.106898,19.73763247081552,16.402214
98.94875726456884,83.06865,263.10214,83.06865,89.60257957692306,86.897934
44.97610643627002,70.709625,65.97294,70.709625,63.27711170695317,68.28949
42.14848826171286,34.887833,37.474854,34.887833,33.42438664771911,34.51154
48.21060189782209,50.104187,41.546425,50.104187,48.392528142098286,49.393818
80.66701878255212,70.70179,72.1471,70.70179,74.17771084112144,72.783165
15.187302950938589,15.6399975,39.6522,15.6399975,17.55288229056232,16.836855
81.51836038449557,55.15603,60.273197,55.15603,60.43616681752048,55.03319
25.10285029443018,38.765556,46.923275,38.765556,32.17160615469415,35.865852
81.96279499244989,53.742413,57.7233,53.742413,61.28318150355616,55.763363
73.52671120957825,31.580532,40.434612,31.580532,34.14609599356903,32.765762
41.53720077582031,34.176746,36.862427,34.176746,42.60573839558538,34.51154
48.65045649961747,56.728943,71.58881,56.728943,56.40667217823307,56.566345
45.76001737485932,40.610836,39.125446,40.610836,50.13366255348723,45.121914
51.380259622638384,53.70199,45.33723,53.70199,55.43017762770039,55.847042
-1.3603241872902916,17.749805,31.815876,17.749805,18.10394316228013,16.744442
19.63553894313128,46.99034,44.068504,46.99034,46.56863345031094,46.13371
8.260073829612466,18.582102,35.64583,18.582102,17.298448831478844,19.289904
41.80365291628172,17.924541,38.311485,17.924541,26.601720832412088,23.902544
-2.4652393473440464,15.600523,31.16627,15.600523,16.381262469931546,17.500443
6.723736512887829,15.308411,37.97102,15.308411,19.239884495907344,17.534376
32.91705501574389,57.891834,41.875107,57.891834,51.113924253003496,54.341213
58.61053905235365,55.726955,42.715942,55.726955,47.800617630458504,53.828266
44.76932683666841,44.911118,39.684372,44.911118,48.51476645999097,44.22773
59.18807585701814,53.905205,50.553757,53.905205,57.06643488555363,56.183178
75.5445485195626,46.665478,40.871162,46.665478,46.54178414427011,45.838127
52.44601466010378,50.659744,38.792397,50.659744,49.27857299012866,51.887707
93.42395310871683,75.54821,77.50353,75.54821,75.49787930082509,77.27167
34.345094794475884,51.279922,46.40389,51.279922,53.81829558929861,51.29117
65.98814801189647,71.593506,93.8559,71.593506,71.07724880812547,71.51707
62.358910413604804,87.02093,56.448845,87.02093,86.11204984848246,86.111115
42.31223647471056,62.333855,57.773693,62.333855,60.59762376936017,63.643
72.08891147912682,67.68472,45.243576,67.68472,57.495173033519016,63.64142
59.986242529461926,54.352455,74.09159,54.352455,57.42359449032975,55.620228
45.67439154908385,76.273544,59.030342,76.273544,75.59505353478112,73.64913
78.92420247188734,73.24136,59.438225,73.24136,78.5373488985068,74.332596
64.35443473677266,58.113457,52.812237,58.113457,62.83354148167331,57.100338
67.21782166989948,65.283485,54.900055,65.283485,65.82735030108672,65.358826
80.01339511614431,53.135605,44.28076,53.135605,57.00959214969453,54.334835
77.75739375624994,72.386826,65.7068,72.386826,70.74052652969216,69.67009
45.56323232118306,53.879406,72.22468,53.879406,55.634843897353385,55.80294
42.04132942983327,19.530128,38.041824,19.530128,25.865323813888875,25.857773
98.69780945333486,49.02824,45.799316,49.02824,52.44262810187451,49.51227
-1.7755256395438845,15.106898,31.441584,15.106898,12.869061234741423,14.668714
46.617263801387814,46.706036,38.85477,46.706036,45.13062958265582,46.777756
49.098252270553004,45.24193,43.71287,45.24193,47.839411832443226,44.205643
45.380276357557506,50.927105,76.6863,50.927105,57.6676894648663,54.158276
47.53067773702939,39.70758,65.2403,39.70758,41.07887942259555,42.43065
47.97809807664359,58.65943,63.63939,58.65943,55.80975065610727,60.18685
25.358187719962,43.2574,55.089592,43.2574,45.91481501521775,44.642017
21.1410817430593,30.831404,43.222466,30.831404,29.713050404336347,32.366188
-0.661084336403734,15.106898,30.925909,15.106898,11.175920193761494,13.157134
67.3315291529679,87.05729,69.85384,87.05729,86.81564129543622,87.12503
87.33764855380447,75.47422,72.1198,75.47422,82.84262865816991,80.09172
60.17887342037379,76.26496,69.05044,76.26496,69.57779588366367,72.76299
51.28144885027204,57.766373,42.707382,57.766373,50.2902476719332,54.341213
61.67651247794619,55.747955,49.810947,55.747955,59.936201517288836,56.183178
92.43390032485868,87.47408,69.62004,87.47408,93.35942853460831,88.951
38.43259255199927,48.5258,41.281944,48.5258,51.10301991875583,48.1986
37.70387570777382,45.47022,46.964222,45.47022,42.37710712684036,44.52331
20.45446471594121,15.106898,32.38761,15.106898,8.529544696980425,11.048115
67.55782180921142,63.08309,50.62341,63.08309,68.92203858045254,65.630035
57.58293914463928,83.17006,63.05194,83.17006,76.65926192980871,80.81009
60.060465291496406,78.329346,67.63531,78.329346,67.35724490188937,73.352135
78.63247887598969,71.389946,51.075783,71.389946,79.4473540303238,72.44621
80.72586395204725,65.20481,61.85414,65.20481,67.86495033296704,64.50516
31.701832145024955,32.977737,32.2976,32.977737,32.59453505733142,33.89624
20.95468869051233,20.330782,38.227287,20.330782,28.148258574826453,25.857773
26.103676731502688,34.158325,46.69861,34.158325,29.672063070251085,33.78037
42.183649943683676,38.873367,35.215553,38.873367,36.87009174355069,34.56493
71.51760472072996,64.28492,53.52909,64.28492,69.86633176568047,66.51836
32.53533175525129,32.353264,31.85749,32.353264,33.30764652873783,33.73104
44.737367606202945,54.542328,72.4837,54.542328,55.634843897353385,55.80294
55.453468091392814,49.984123,46.95411,49.984123,49.55151521576845,50.190598
41.886696766904905,48.395657,57.900803,48.395657,49.51411988538013,49.006153
38.789708138575776,39.394676,37.312992,39.394676,35.63612575452978,36.23331
94.1299202301709,83.14567,77.967995,83.14567,85.11081248114274,84.758316
41.58611100100608,25.312166,36.27689,25.312166,26.679714339707722,24.383358
80.27600405799731,52.297226,61.045418,52.297226,48.06124673685458,50.793835
53.47825289178003,23.429314,31.951641,23.429314,34.76084455287931,26.597754
65.37926145450226,57.82627,53.23804,57.82627,55.494372485827945,56.696125
71.2955138390295,55.991386,67.14279,55.991386,59.43308910293776,55.52382
68.65607878976664,62.507393,49.66896,62.507393,69.42443049941468,65.630035
35.33209028581665,15.13196,39.267067,15.13196,17.215405063885584,19.858059
20.66550728636634,46.334183,46.021057,46.334183,41.12758174465758,44.52331
65.86514895524351,62.955513,55.908504,62.955513,61.14998873507282,64.87945
79.2460478730633,76.36195,60.821556,76.36195,75.0385275104116,73.77483
61.1297783943512,53.74638,60.46636,53.74638,58.23378803889141,55.03319
21.985551299762886,28.590668,46.50624,28.590668,24.679790834509948,29.281214
95.26543212132559,66.79973,53.495167,66.79973,71.68972763186268,66.78094
54.72937772928812,47.499146,35.447483,47.499146,46.22308955500305,41.856102
20.710158230771437,53.44576,44.815674,53.44576,50.43558290061183,54.705494
91.25069982497524,69.797646,52.68925,69.797646,79.07200948397332,67.70282
-1.6918564295269312,15.106898,30.272991,15.106898,9.963863177464324,9.46026
41.992770942635396,52.903713,59.095264,52.903713,49.62855939541551,52.171257
0.5321452982979498,34.423473,31.871872,34.423473,25.903257677778566,32.261047
37.54598525808315,22.687706,37.32486,22.687706,26.037937708235802,25.905138
64.67735771433016,57.896503,55.400368,57.896503,51.95589080398394,56.27631
54.14750884554028,15.106898,30.793587,15.106898,12.594791373411526,13.690917
