epoch,training_loss,validation_rmse
0,3128.669952392578,53.95826570365146
1,2893.6064453125,53.30946682735137
2,2634.3928833007812,50.431047750855804
3,2306.738311767578,47.112646410644224
4,1922.0899810791016,42.271194289200444
5,1529.6572265625,38.31002376934672
6,1178.186050415039,33.284926771202954
7,897.6841812133789,28.916481850724935
8,698.2611923217773,27.16512983901311
9,597.0124053955078,25.78587010659609
10,566.4760513305664,24.691067265540255
11,561.0266571044922,24.645107112845807
12,549.1574096679688,24.033576036118813
13,535.5608444213867,23.528079879861217
14,525.3440933227539,23.24084773952215
15,527.2856483459473,23.081987543431456
16,511.04730224609375,22.691879265442157
17,491.9141387939453,23.193641966091274
18,472.1903533935547,22.298920403125905
19,466.74282455444336,22.355019802453008
20,458.5121765136719,21.87583691441242
21,448.6182060241699,21.23589831773528
22,444.05501556396484,21.072147432004723
23,433.8484115600586,21.046878284202148
24,427.49021911621094,21.00772059543032
25,422.86981201171875,20.77297568581683
26,414.7359809875488,20.626938199982504
27,410.04821014404297,20.355404837366255
28,402.3142433166504,20.257053116398698
29,398.4078140258789,20.177241361435282
30,392.82872772216797,19.920857233839627
31,384.4483184814453,19.89446492087208
32,383.8294563293457,19.543695557177212
33,375.3090133666992,19.31157675604636
34,369.5565414428711,19.00820181005745
35,362.7646675109863,19.359072006463823
36,352.3740425109863,18.449659363284624
37,337.35376739501953,18.254474716001777
38,325.1133918762207,17.923671870555154
39,322.4717903137207,17.61535718648799
40,317.8490180969238,17.897060529310004
41,310.58415603637695,17.518638174782676
42,310.2641258239746,17.594368022186618
43,312.55602645874023,17.613996310516157
44,311.25448989868164,17.385422150453444
45,306.7699508666992,17.46573085256941
46,303.1716194152832,17.516692463359867
47,304.55522537231445,17.68417365053568
48,304.82891845703125,17.417749654717703
49,305.17108154296875,17.13956431304861
50,299.59442138671875,17.171502624764685
51,296.60212326049805,17.214908977165173
52,296.09737396240234,17.078199848124594
53,296.1830177307129,17.167248064014426
54,294.3620719909668,17.124319434004036
55,293.61113357543945,17.00252102830792
56,289.6429862976074,17.1374004975251
57,290.0656509399414,17.08924522203486
58,289.41529083251953,17.08517732990622
59,290.19214248657227,17.055757710247352
60,289.0549545288086,17.13827166036972
61,287.4650344848633,17.096123911234198
62,288.104305267334,16.938892780661565
63,286.88525390625,16.974506467779122
64,287.65599060058594,17.019040054167615
65,286.9523277282715,16.955470660010114
66,285.96131896972656,17.02013267757006
67,285.39400482177734,16.908964787303322
68,286.17180252075195,17.06406521344722
69,283.9049835205078,17.034886030907785
70,281.92877197265625,17.160629478136077
71,283.5484924316406,17.13368133176687
72,281.57740783691406,17.020846190491635
73,281.59538650512695,17.17866901242739
74,280.67333602905273,17.039400574117057
75,281.4468116760254,17.15108323641475
76,279.73820877075195,17.078973359857294
77,278.21142196655273,17.15780685505028
78,279.3992347717285,17.157720998973463
79,278.94794845581055,17.24319868089984
80,278.9020538330078,17.145801334216685
81,278.1877746582031,17.09275206757373
82,276.39429092407227,17.15929897085627
83,276.8164978027344,17.227639551602902
84,276.9951171875,17.284679599748404
85,276.7476005554199,17.218920008154665
86,275.99394607543945,17.295293104156887
87,274.30548667907715,17.191498320868735
