epoch,training_loss,validation_rmse
0,2951.500534057617,51.260766382599044
1,2408.2393341064453,43.259055846176466
2,1565.9200439453125,31.55791180255111
3,752.8881511688232,23.816110690559203
4,507.4332695007324,23.112275513413895
5,474.68970489501953,22.559984393679322
6,431.48705673217773,22.463121573415627
7,410.520658493042,21.718961271732287
8,399.90893173217773,22.047833720191615
9,395.1445846557617,21.894800193007523
10,381.3307056427002,23.171441393235
11,365.7328052520752,22.77925210474697
12,349.8105220794678,21.792830112313656
13,346.9756374359131,20.277894279126013
14,337.1235122680664,21.185933627970467
15,333.8689613342285,22.05743978816072
16,332.0853500366211,21.10727515249494
17,328.40378189086914,22.69794023306431
18,323.4933891296387,21.778208207814345
19,321.61245346069336,21.24687248978435
20,317.52719497680664,21.496587695265532
21,314.4185962677002,20.530016229155024
22,313.4308090209961,20.544358184531397
23,311.950496673584,20.77783264029054
24,307.4341259002686,20.509975999288216
25,303.3803195953369,20.3840682805914
26,304.7518358230591,20.50202392303839
27,302.22617530822754,20.19928835084987
28,303.91161346435547,20.089028799573782
29,301.63606452941895,20.052762789990346
30,302.7577705383301,20.301191687573645
31,303.15929222106934,20.76952473299946
32,299.7909622192383,21.120965541688403
33,297.18366622924805,21.396769673374255
34,296.44883251190197,20.69428819861982
35,295.14523124694824,20.230956515430886
36,294.54022789001465,20.588157680307184
37,297.8348026275635,19.673772384067735
38,295.7830410003662,18.589849905827432
39,294.92345237731934,18.46236174206084
40,294.78636932373047,18.501444104030057
41,296.28357124328613,18.604651574599405
42,293.46039390563965,19.8103706858501
43,290.57031059265137,19.097460962521726
44,289.7067174911499,18.65835556548791
45,289.11122035980225,18.88166889481477
46,288.64770698547363,19.404479025422592
47,291.7637720108032,19.00467928144525
48,285.3336658477783,18.966123987832933
49,290.62049102783203,18.720943387621276
50,286.7280960083008,18.653449584353243
51,287.73055267333984,18.236982612398265
52,285.96997261047363,18.26718426854576
53,284.65245723724365,18.46242790021452
54,285.7633476257324,18.410257059254356
55,283.7981624603272,18.46841758121561
56,282.6138677597046,18.558753481096975
57,284.78597831726074,18.5693491019999
58,281.8665523529053,18.517116315051435
59,278.4823188781738,18.63096739210256
60,276.3352336883545,18.272440580980174
61,279.2481412887573,17.932847038129974
62,275.79973030090326,18.27464603642885
63,274.5454435348511,18.38562461869963
64,272.6881914138794,18.008418370521017
65,273.58048439025873,18.246254471895817
66,272.49816703796387,17.987746236973805
67,272.1389331817627,18.253521469042692
68,272.01128005981445,18.430858884260847
69,269.3468084335327,18.338119601884177
70,271.10345554351807,18.24636636055691
71,269.7230443954468,18.456773711477524
72,267.1821231842041,18.160275119036033
73,267.4476671218872,18.32810032224075
74,266.0333948135376,18.049217366914633
75,267.06661796569824,18.06699573192121
76,265.7404680252075,18.474838492203524
77,269.08577346801763,18.11674517616381
78,265.55287551879877,18.265475749468344
79,265.59610748291016,17.995267650993597
80,264.17895889282227,18.400443918158267
81,261.1589241027832,18.230111610928127
